title,n_words,n_chars,n_sents,avg_word_len,avg_sent_len_words,type_token_ratio,stopword_rate,hedge_rate,flesch_reading_ease,fk_grade_level,comma_per_1k_chars,semicolon_per_1k_chars,colon_per_1k_chars,dash_per_1k_chars,paren_per_1k_chars,quote_per_1k_chars,newline_per_1k_chars,bullet_per_1k_chars,group,is_ai
An Artificial Intelligence Framework for Predicting and Engineering Protein Regulation via Emergent Allosteric Order Parameters,280,2143,18,6.571428571428571,15.555555555555555,0.6678571428571428,0.2785714285714286,0.0,-1.116746031746004,17.279523809523813,0.0,0.0,0.0,4.199720018665422,1.8665422305179655,0.0,6.066262249183388,0.0,Human,0
Evolutionary Origins of Complex Protein Topologies from Knotted Structures to Pierced Lassos,282,2170,18,6.620567375886525,15.666666666666666,0.6063829787234043,0.2872340425531915,0.0,-4.066666666666663,17.718581560283692,0.0,0.0,0.0,2.304147465437788,0.9216589861751152,0.0,5.990783410138249,0.0,Human,0
Systemic Biological Network Decipherment Through Artificial Intelligence-Driven Multi-Omic Integration,308,2328,18,6.5,17.11111111111111,0.6233766233766234,0.2824675324675325,0.003246753246753247,-4.728232323232305,18.169696969696968,0.0,0.0,0.0,7.302405498281787,0.8591065292096219,0.0,5.584192439862543,0.0,Human,0
Sequence Conservation Learning from Functional Constraints in Intrinsically Disordered Protein Regions,291,2278,18,6.701030927835052,16.166666666666668,0.6460481099656358,0.29896907216494845,0.0,-4.357671821305814,17.88338487972509,4.389815627743635,0.0,0.0,4.389815627743635,3.5118525021949076,0.0,5.706760316066725,0.0,Human,0
Integrative Multi-Omics Synthesis for the Identification of Shared Molecular Mechanisms in Mammalian Hibernation,276,2072,18,6.431159420289855,15.333333333333334,0.6666666666666666,0.2753623188405797,0.0,3.0673188405797305,16.640724637681164,0.0,0.0,0.0,4.343629343629344,0.9652509652509653,0.0,6.274131274131274,0.0,Human,0
Ontological Framework for Allostery through Community-Scale Synthesis of Protein Dynamics,321,2365,18,6.264797507788162,17.833333333333332,0.5420560747663551,0.3177570093457944,0.0,1.8762227414330255,17.427928348909663,0.0,0.0,0.0,2.536997885835095,5.919661733615222,0.0,5.496828752642706,0.0,Human,0
SynEvo: Evolutionary Principles of Molecular Organization via Cross-Species Data Synthesis,293,2166,18,6.286689419795222,16.27777777777778,0.6484641638225256,0.27986348122866894,0.0034129692832764505,6.38745828593099,16.412258248009106,0.0,0.0,0.0,4.616805170821792,5.54016620498615,0.0,6.001846722068328,0.0,Human,0
A Unified Analytical Framework for the Dynamics of Proteome Turnover,296,2189,22,6.283783783783784,13.454545454545455,0.6621621621621622,0.30405405405405406,0.0,9.688095823095836,15.250515970515973,0.0,0.0,0.0,4.568296025582457,0.9136592051164916,0.0,5.938784833257195,0.0,Human,0
Predictive Synthesis Framework for Elucidating Biophysical Cell States from Spatial Transcriptomics and Proteomics,314,2346,18,6.410828025477707,17.444444444444443,0.6210191082802548,0.2961783439490446,0.0,4.840990799716934,16.917791932059448,0.0,0.0,0.0,6.820119352088661,0.0,0.0,5.541346973572037,0.0,Human,0
Integration of Artificial Intelligence and Molecular Dynamics Simulations for Quantitative Enzyme Function Prediction,304,2228,18,6.276315789473684,16.88888888888889,0.5986842105263158,0.2894736842105263,0.0,8.80461988304097,16.226929824561402,0.0,0.0,0.0,8.976660682226212,0.0,0.0,5.834829443447037,0.0,Human,0
Discovery and Functional Characterization of Bacterial Organelles via Integrated Omics Data Mining and Refinement,286,2172,18,6.451048951048951,15.88888888888889,0.6328671328671329,0.2972027972027972,0.0034965034965034965,4.055330225330238,16.640932400932403,0.4604051565377532,0.0,0.0,5.524861878453039,2.7624309392265194,0.0,5.985267034990792,0.0,Human,0
Impact of Heat Wave Stress on Cytokinetic Bottlenecks in Cellular Division,278,2012,18,6.16546762589928,15.444444444444445,0.5935251798561151,0.3345323741007194,0.0,12.829392486011187,15.306714628297367,1.9880715705765406,0.0,0.0,4.970178926441352,0.0,0.0,6.461232604373757,0.0,Human,0
Elucidation of Genome Structure-Function Relationships in Human Brain Cells,273,2077,18,6.516483516483516,15.166666666666666,0.6227106227106227,0.25274725274725274,0.0,5.196877289377284,16.30228937728938,3.370245546461242,0.0,0.0,6.259027443428021,0.9629272989889263,0.0,6.259027443428021,0.0,Human,0
