condition,task,text_branch,field,metric,param,order,JT,p_raw,p_fdr,direction_ok,notes
baseline,reviews,rephrased,whole,vendi,q=1,claude<gemini<gpt<human,1069.0,0.0012053312198448984,0.0048213248793795935,True,JT over paired Human-AI differences by model
baseline,reviews,rephrased,whole,participation_ratio,,claude<gemini<gpt<human,882.5,0.16348407156697703,0.32696814313395406,False,JT over paired Human-AI differences by model
baseline,reviews,rephrased,whole,coverage_geometric,k=panel_adaptive,claude<gemini<gpt<human,662.0,0.9262377071996014,0.999616939052482,False,JT over paired Human-AI differences by model
baseline,reviews,rephrased,whole,ripley_excess,r=panel_q01_q50,claude<gemini<gpt<human,488.0,0.999616939052482,0.999616939052482,False,JT over paired Human-AI differences by model
baseline,reviews,rephrased,strengths,vendi,q=1,claude<gemini<gpt<human,1092.0,0.0005051266829455098,0.002020506731782039,False,JT over paired Human-AI differences by model
baseline,reviews,rephrased,strengths,participation_ratio,,claude<gemini<gpt<human,918.5,0.0842962911411364,0.1685925822822728,True,JT over paired Human-AI differences by model
baseline,reviews,rephrased,strengths,coverage_geometric,k=panel_adaptive,claude<gemini<gpt<human,620.0,0.9719922738531016,0.9984479577418187,False,JT over paired Human-AI differences by model
baseline,reviews,rephrased,strengths,ripley_excess,r=panel_q01_q50,claude<gemini<gpt<human,525.0,0.9984479577418187,0.9984479577418187,False,JT over paired Human-AI differences by model
baseline,reviews,rephrased,weakness,vendi,q=1,claude<gemini<gpt<human,1000.0,0.011471729850162687,0.04588691940065075,False,JT over paired Human-AI differences by model
baseline,reviews,rephrased,weakness,participation_ratio,,claude<gemini<gpt<human,879.5,0.1717691346069064,0.3435382692138128,True,JT over paired Human-AI differences by model
baseline,reviews,rephrased,weakness,coverage_geometric,k=panel_adaptive,claude<gemini<gpt<human,766.5,0.6169102239113321,0.8225469652151095,False,JT over paired Human-AI differences by model
baseline,reviews,rephrased,weakness,ripley_excess,r=panel_q01_q50,claude<gemini<gpt<human,577.5,0.9913203287760313,0.9913203287760313,False,JT over paired Human-AI differences by model
one_at_a_time,reviews,rephrased,whole,vendi,q=1,claude<gemini<gpt<human,838.0,0.3120246649150267,0.8530807367064245,False,JT over paired Human-AI differences by model
one_at_a_time,reviews,rephrased,whole,participation_ratio,,claude<gemini<gpt<human,675.5,0.9031382811033243,0.9031382811033243,False,JT over paired Human-AI differences by model
one_at_a_time,reviews,rephrased,whole,coverage_geometric,k=panel_adaptive,claude<gemini<gpt<human,776.0,0.5764201236054753,0.8530807367064245,False,JT over paired Human-AI differences by model
one_at_a_time,reviews,rephrased,whole,ripley_excess,r=panel_q01_q50,claude<gemini<gpt<human,761.0,0.6398105525298183,0.8530807367064245,False,JT over paired Human-AI differences by model
one_at_a_time,reviews,rephrased,strengths,vendi,q=1,claude<gemini<gpt<human,898.0,0.12487541250981621,0.49950165003926483,True,JT over paired Human-AI differences by model
one_at_a_time,reviews,rephrased,strengths,participation_ratio,,claude<gemini<gpt<human,838.5,0.31007898494589153,0.5192144097451851,True,JT over paired Human-AI differences by model
one_at_a_time,reviews,rephrased,strengths,coverage_geometric,k=panel_adaptive,claude<gemini<gpt<human,819.0,0.3894108073088888,0.5192144097451851,False,JT over paired Human-AI differences by model
one_at_a_time,reviews,rephrased,strengths,ripley_excess,r=panel_q01_q50,claude<gemini<gpt<human,635.0,0.959569024925657,0.959569024925657,False,JT over paired Human-AI differences by model
one_at_a_time,reviews,rephrased,weakness,vendi,q=1,claude<gemini<gpt<human,856.0,0.24560987239630733,0.6294577966235241,False,JT over paired Human-AI differences by model
