proposal_uid,bertopic_region_entropy,bertopic_max_region_weight,bertopic_unique_regions,bertopic_dominant_region,bertopic_dominant_label,source_group,source_type,title
y1::1,0.747584679824574,0.85,3,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",Human,human,CYTOKINETIC BOTTLENECKS OF HEAT WAVES
y1::10,0.8841837197791889,0.8,3,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",Human,human,Transposable elements and the emergence of genomic innovation
y1::11,1.3366664819166874,0.55,3,3,"fetal liver, stalled replication forks, pulmonary vascular, chromatin state",Human,human,Searching the crosslinking mass spectrometry universe for new protein-protein interactions
y1::12,0.8841837197791889,0.8,3,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",Human,human,Intelligent metadata compilation to enhance the reusability and discoverability of mass spectrometry-based proteomics data
y1::2,-0.0,1.0,1,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",Human,human,Elucidating genome structure-function relationships in human brain cells
y1::3,-0.0,1.0,1,1,"details use execution, myosin motors, nascent chain, origin life",Human,human,MaiTool - LLM-powered bioinformatics tools for microbiome analysis
y1::4,0.4689955935892812,0.9,2,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",Human,human,Synthesizing gene expression data to create an atlas of bacterial cell states
y1::5,-0.0,1.0,1,1,"details use execution, myosin motors, nascent chain, origin life",Human,human,Energetic Origins of Connectivity within Protein Interaction Networks
y1::6,1.2567796494470393,0.7,4,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",Human,human,Elucidating emergent structures in cellular RNA-protein interaction networks
y1::7,1.0,0.5,2,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",Human,human,Oceans of Disorder: Elucidating the Role of Disordered Proteins in Cellular Adaptation
y1::8,1.4854752972273344,0.5,3,3,"fetal liver, stalled replication forks, pulmonary vascular, chromatin state",Human,human,Multimodel single-cell frameworks for cell lines with extensive multi-omics data
y1::9,-0.0,1.0,1,1,"details use execution, myosin motors, nascent chain, origin life",Human,human,From image data and biophysical simulations to principles of mesoscale organization through integrated transfer learning
y2::1,-0.0,1.0,1,1,"details use execution, myosin motors, nascent chain, origin life",Human,human,Emergent Order Parameters of Allostery: An AI Framework for Predicting and Engineering Protein Regulation
y2::10,-0.0,1.0,1,1,"details use execution, myosin motors, nascent chain, origin life",Human,human,Integrating AI and Molecular Dynamics Simulations for Quantitative Prediction of Enzyme Functions
y2::11,1.6387586809150083,0.55,4,1,"details use execution, myosin motors, nascent chain, origin life",Human,human,Discovery and functional analysis of bacterial organelles through mining and refinement of omics data
y2::2,-0.0,1.0,1,1,"details use execution, myosin motors, nascent chain, origin life",Human,human,From Protein Knots to Pierced Lassos: Unraveling the Evolutionary Origin of Complex Topologies
y2::3,0.28639695711595625,0.95,2,1,"details use execution, myosin motors, nascent chain, origin life",Human,human,Deciphering systemic biological networks through AI-driven multi-omic integration
y2::4,-0.0,1.0,1,1,"details use execution, myosin motors, nascent chain, origin life",Human,human,Conserved Disorder: Learning Sequence Conservation from Functional Constraints in Intrinsically Disordered Regions
y2::5,0.6098403047164004,0.85,2,1,"details use execution, myosin motors, nascent chain, origin life",Human,human,Integrative Multi-Omics Synthesis to Identify Shared Molecular Mechanisms of Mammalian Hibernation
y2::6,-0.0,1.0,1,1,"details use execution, myosin motors, nascent chain, origin life",Human,human,Revealing the Ontology of Allostery through Community-Scale Synthesis
y2::7,-0.0,1.0,1,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",Human,human,SynEvo: Discovering Evolutionary Principles of Molecular Organization through Cross-Species Data Synthesis
y2::8,1.533206219346495,0.6,4,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",Human,human,A Unified Framework for Analyses of Proteome Turnover Dynamics
y2::9,1.2344977967946407,0.5,3,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",Human,human,Predictive Synthesis Framework for Elucidating Biophysical Cell State from Spatial Transcriptomics and Proteomics
one_at_a_time::claude-sonnet-5::01,0.8112781244591328,0.75,2,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",Claude,ai,"Decoding the Sequence-to-Mesoscale Grammar of Biomolecular Condensates: A Multi-Omic Synthesis of Phase Behavior, Interactome Architecture, and Cellular Function"
one_at_a_time::claude-sonnet-5::02,-0.0,1.0,1,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",Claude,ai,From Sequence Grammar to Cellular Phenotype: A Multi-Scale Data Synthesis of Biomolecular Condensate Emergence
one_at_a_time::claude-sonnet-5::03,0.28639695711595625,0.95,2,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",Claude,ai,Decoding the Sequence-to-Mesoscale Grammar of Biomolecular Condensates: A Multi-Omics Synthesis of Phase Separation Determinants and Cellular Consequences
one_at_a_time::claude-sonnet-5::04,-0.0,1.0,1,1,"details use execution, myosin motors, nascent chain, origin life",Claude,ai,"Decoding the Molecular Grammar of Mesoscale Condensate Emergence: A Cross-Database Synthesis Linking Sequence Features, Structural Organization, and Cellular Phenotype"
one_at_a_time::claude-sonnet-5::05,0.747584679824574,0.85,3,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",Claude,ai,"Decoding the Molecular Grammar of Biomolecular Condensate Emergence: A Cross-Database Synthesis Linking Sequence Features, Structural Disorder, and Mesoscale Material Properties to Cellular Function"
one_at_a_time::claude-sonnet-5::06,0.5689955935892812,0.9,3,0,"related morbidity, stage diagnosis, combination strategies, clinical intervention",Claude,ai,"Decoding the Molecular Grammar of Biomolecular Condensate Emergence: A Multi-Modal Data Synthesis Across Sequence, Structure, Interactome, and Imaging Scales"
one_at_a_time::claude-sonnet-5::07,1.1411535278793055,0.65,3,3,"fetal liver, stalled replication forks, pulmonary vascular, chromatin state",Claude,ai,From Sequence to Cellular Phenotype: A Multi-Database Synthesis of the Molecular Grammar Governing Emergent Material Properties of Biomolecular Condensates
one_at_a_time::claude-sonnet-5::08,0.9927744539878083,0.55,2,5,"therapeutic strategies including, exosomes emerging, epigenetic modulation, solid cancers",Claude,ai,From Sequence Grammar to Cellular Phenotype: A Multi-Scale Data Synthesis of Biomolecular Condensate Emergence and Its Disruption in Disease
