metric,n_group1,n_group2,u_stat,p_value,cliffs_delta,delta_magnitude,group1,group2,mean_group1,mean_group2,q_value
overall_score,12,11,31.0,0.03298203371249464,-0.5303030303030303,large,human-y1,human-y2,3.6444444444444444,3.895454545454545,0.04711719101784949
overall_score,12,23,190.5,0.06938254821478511,0.3804347826086957,medium,human-y1,claude-opus-4-5,3.6444444444444444,3.4028985507246374,0.08672818526848139
overall_score,12,23,127.0,0.7138024554094867,-0.07971014492753623,negligible,human-y1,gemini-3-pro-preview,3.6444444444444444,3.656521739130434,0.7138024554094867
overall_score,12,23,46.5,0.0015371628533475963,-0.6630434782608695,large,human-y1,gpt-5.2,3.6444444444444444,3.993478260869565,0.0038429071333689908
overall_score,11,23,234.5,6.92074922032142e-05,0.8537549407114624,large,human-y2,claude-opus-4-5,3.895454545454545,3.4028985507246374,0.000346037461016071
overall_score,11,23,187.0,0.026560031823286402,0.4782608695652174,large,human-y2,gemini-3-pro-preview,3.895454545454545,3.656521739130434,0.04426671970547733
overall_score,11,23,94.5,0.24516476480482152,-0.25296442687747034,small,human-y2,gpt-5.2,3.895454545454545,3.993478260869565,0.2724052942275795
overall_score,23,23,124.0,0.002006680690707241,-0.5311909262759924,large,claude-opus-4-5,gemini-3-pro-preview,3.4028985507246374,3.656521739130434,0.004013361381414482
overall_score,23,23,24.5,1.3313074528446022e-07,-0.9073724007561437,large,claude-opus-4-5,gpt-5.2,3.4028985507246374,3.993478260869565,1.3313074528446022e-06
overall_score,23,23,97.0,0.00023554816705089097,-0.6332703213610587,large,gemini-3-pro-preview,gpt-5.2,3.656521739130434,3.993478260869565,0.0007851605568363032
new_question_topic_or_framing,12,11,41.5,0.12456406214237814,-0.3712121212121212,medium,human-y1,human-y2,3.6666666666666665,4.060606060606061,0.1789439898257377
new_question_topic_or_framing,12,23,181.5,0.1252607928780164,0.31521739130434784,small,human-y1,claude-opus-4-5,3.6666666666666665,3.347826086956522,0.1789439898257377
new_question_topic_or_framing,12,23,150.0,0.6823772705267219,0.08695652173913043,negligible,human-y1,gemini-3-pro-preview,3.6666666666666665,3.594202898550725,0.6823772705267219
new_question_topic_or_framing,12,23,103.5,0.2236916798473586,-0.25,small,human-y1,gpt-5.2,3.6666666666666665,3.942028985507246,0.2796145998091982
new_question_topic_or_framing,11,23,236.5,3.5400785736967034e-05,0.8695652173913043,large,human-y2,claude-opus-4-5,4.060606060606061,3.347826086956522,0.00017700392868483515
new_question_topic_or_framing,11,23,204.0,0.0033180731610733694,0.6126482213438735,large,human-y2,gemini-3-pro-preview,4.060606060606061,3.594202898550725,0.011060243870244563
new_question_topic_or_framing,11,23,148.5,0.40533457986472465,0.17391304347826086,small,human-y2,gpt-5.2,4.060606060606061,3.942028985507246,0.4503717554052496
new_question_topic_or_framing,23,23,166.5,0.02650109188266289,-0.3705103969754253,medium,claude-opus-4-5,gemini-3-pro-preview,3.347826086956522,3.594202898550725,0.05300218376532578
new_question_topic_or_framing,23,23,61.5,5.138718394935731e-06,-0.7674858223062382,large,claude-opus-4-5,gpt-5.2,3.347826086956522,3.942028985507246,5.138718394935731e-05
new_question_topic_or_framing,23,23,140.5,0.004674024586143171,-0.46880907372400754,medium,gemini-3-pro-preview,gpt-5.2,3.594202898550725,3.942028985507246,0.011685061465357928
new_theory_concept_method_dataset_or_design,12,11,39.5,0.08241171203388725,-0.4015151515151515,medium,human-y1,human-y2,3.4722222222222228,3.803030303030303,0.11657874849029731
new_theory_concept_method_dataset_or_design,12,23,216.0,0.004469333887129246,0.5652173913043478,large,human-y1,claude-opus-4-5,3.4722222222222228,3.0,0.011173334717823113
new_theory_concept_method_dataset_or_design,12,23,170.5,0.1756696345843929,0.23550724637681159,small,human-y1,gemini-3-pro-preview,3.4722222222222228,3.2898550724637676,0.19518848287154766
new_theory_concept_method_dataset_or_design,12,23,92.0,0.09326299879223784,-0.3333333333333333,medium,human-y1,gpt-5.2,3.4722222222222228,3.6159420289855073,0.11657874849029731
new_theory_concept_method_dataset_or_design,11,23,217.5,0.0006865542558031115,0.7193675889328063,large,human-y2,claude-opus-4-5,3.803030303030303,3.0,0.0034327712790155574
new_theory_concept_method_dataset_or_design,11,23,194.0,0.00737030863569363,0.5335968379446641,large,human-y2,gemini-3-pro-preview,3.803030303030303,3.2898550724637676,0.014740617271387261
new_theory_concept_method_dataset_or_design,11,23,152.0,0.3461490174870816,0.2015810276679842,small,human-y2,gpt-5.2,3.803030303030303,3.6159420289855073,0.3461490174870816
new_theory_concept_method_dataset_or_design,23,23,164.5,0.019750923772677138,-0.3780718336483932,medium,claude-opus-4-5,gemini-3-pro-preview,3.0,3.2898550724637676,0.03291820628779523
