condition,target_proposal_uid,target_cohort,target_proposal_id,target_proposal_title,target_human_n_reviews,n_human_reviews_available,n_ai_reviews_claude,n_ai_reviews_gemini,n_ai_reviews_gpt,n_ai_reviews_pooled,eligible_exact_match_claude,eligible_exact_match_gemini,eligible_exact_match_gpt,eligible_exact_match_pooled,human_review_uids,ai_review_uids_claude,ai_review_uids_gemini,ai_review_uids_gpt,ai_review_uids_pooled
baseline,y1::1,y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,4,4,5,0,5,10,True,False,True,True,"[""y1::1::1::01"", ""y1::1::2::01"", ""y1::1::3::01"", ""y1::1::4::01""]","[""baseline::y1::1::claude-sonnet-5::001"", ""baseline::y1::1::claude-sonnet-5::002"", ""baseline::y1::1::claude-sonnet-5::003"", ""baseline::y1::1::claude-sonnet-5::004"", ""baseline::y1::1::claude-sonnet-5::005""]",[],"[""baseline::y1::1::gpt-5.5::001"", ""baseline::y1::1::gpt-5.5::002"", ""baseline::y1::1::gpt-5.5::003"", ""baseline::y1::1::gpt-5.5::004"", ""baseline::y1::1::gpt-5.5::005""]","[""baseline::y1::1::claude-sonnet-5::001"", ""baseline::y1::1::claude-sonnet-5::002"", ""baseline::y1::1::claude-sonnet-5::003"", ""baseline::y1::1::claude-sonnet-5::004"", ""baseline::y1::1::claude-sonnet-5::005"", ""baseline::y1::1::gpt-5.5::001"", ""baseline::y1::1::gpt-5.5::002"", ""baseline::y1::1::gpt-5.5::003"", ""baseline::y1::1::gpt-5.5::004"", ""baseline::y1::1::gpt-5.5::005""]"
baseline,y1::10,y1,10,Transposable elements and the emergence of genomic innovation,4,4,5,5,5,15,True,True,True,True,"[""y1::10::1::01"", ""y1::10::2::01"", ""y1::10::3::01"", ""y1::10::4::01""]","[""baseline::y1::10::claude-sonnet-5::001"", ""baseline::y1::10::claude-sonnet-5::002"", ""baseline::y1::10::claude-sonnet-5::003"", ""baseline::y1::10::claude-sonnet-5::004"", ""baseline::y1::10::claude-sonnet-5::005""]","[""baseline::y1::10::gemini-3.1-pro-preview::001"", ""baseline::y1::10::gemini-3.1-pro-preview::002"", ""baseline::y1::10::gemini-3.1-pro-preview::003"", ""baseline::y1::10::gemini-3.1-pro-preview::004"", ""baseline::y1::10::gemini-3.1-pro-preview::005""]","[""baseline::y1::10::gpt-5.5::001"", ""baseline::y1::10::gpt-5.5::002"", ""baseline::y1::10::gpt-5.5::003"", ""baseline::y1::10::gpt-5.5::004"", ""baseline::y1::10::gpt-5.5::005""]","[""baseline::y1::10::claude-sonnet-5::001"", ""baseline::y1::10::claude-sonnet-5::002"", ""baseline::y1::10::claude-sonnet-5::003"", ""baseline::y1::10::claude-sonnet-5::004"", ""baseline::y1::10::claude-sonnet-5::005"", ""baseline::y1::10::gpt-5.5::001"", ""baseline::y1::10::gpt-5.5::002"", ""baseline::y1::10::gpt-5.5::003"", ""baseline::y1::10::gpt-5.5::004"", ""baseline::y1::10::gpt-5.5::005"", ""baseline::y1::10::gemini-3.1-pro-preview::001"", ""baseline::y1::10::gemini-3.1-pro-preview::002"", ""baseline::y1::10::gemini-3.1-pro-preview::003"", ""baseline::y1::10::gemini-3.1-pro-preview::004"", ""baseline::y1::10::gemini-3.1-pro-preview::005""]"
baseline,y1::11,y1,11,Searching the crosslinking mass spectrometry universe for new protein-protein interactions,4,4,5,5,5,15,True,True,True,True,"[""y1::11::1::01"", ""y1::11::2::01"", ""y1::11::3::01"", ""y1::11::4::01""]","[""baseline::y1::11::claude-sonnet-5::001"", ""baseline::y1::11::claude-sonnet-5::002"", ""baseline::y1::11::claude-sonnet-5::003"", ""baseline::y1::11::claude-sonnet-5::004"", ""baseline::y1::11::claude-sonnet-5::005""]","[""baseline::y1::11::gemini-3.1-pro-preview::001"", ""baseline::y1::11::gemini-3.1-pro-preview::002"", ""baseline::y1::11::gemini-3.1-pro-preview::003"", ""baseline::y1::11::gemini-3.1-pro-preview::004"", ""baseline::y1::11::gemini-3.1-pro-preview::005""]","[""baseline::y1::11::gpt-5.5::001"", ""baseline::y1::11::gpt-5.5::002"", ""baseline::y1::11::gpt-5.5::003"", ""baseline::y1::11::gpt-5.5::004"", ""baseline::y1::11::gpt-5.5::005""]","[""baseline::y1::11::claude-sonnet-5::001"", ""baseline::y1::11::claude-sonnet-5::002"", ""baseline::y1::11::claude-sonnet-5::003"", ""baseline::y1::11::claude-sonnet-5::004"", ""baseline::y1::11::claude-sonnet-5::005"", ""baseline::y1::11::gpt-5.5::001"", ""baseline::y1::11::gpt-5.5::002"", ""baseline::y1::11::gpt-5.5::003"", ""baseline::y1::11::gpt-5.5::004"", ""baseline::y1::11::gpt-5.5::005"", ""baseline::y1::11::gemini-3.1-pro-preview::001"", ""baseline::y1::11::gemini-3.1-pro-preview::002"", ""baseline::y1::11::gemini-3.1-pro-preview::003"", ""baseline::y1::11::gemini-3.1-pro-preview::004"", ""baseline::y1::11::gemini-3.1-pro-preview::005""]"
baseline,y1::12,y1,12,Intelligent metadata compilation to enhance the reusability and discoverability of mass spectrometry-based proteomics data,4,4,5,5,5,15,True,True,True,True,"[""y1::12::1::01"", ""y1::12::2::01"", ""y1::12::3::01"", ""y1::12::4::01""]","[""baseline::y1::12::claude-sonnet-5::001"", ""baseline::y1::12::claude-sonnet-5::002"", ""baseline::y1::12::claude-sonnet-5::003"", ""baseline::y1::12::claude-sonnet-5::004"", ""baseline::y1::12::claude-sonnet-5::005""]","[""baseline::y1::12::gemini-3.1-pro-preview::001"", ""baseline::y1::12::gemini-3.1-pro-preview::002"", ""baseline::y1::12::gemini-3.1-pro-preview::003"", ""baseline::y1::12::gemini-3.1-pro-preview::004"", ""baseline::y1::12::gemini-3.1-pro-preview::005""]","[""baseline::y1::12::gpt-5.5::001"", ""baseline::y1::12::gpt-5.5::002"", ""baseline::y1::12::gpt-5.5::003"", ""baseline::y1::12::gpt-5.5::004"", ""baseline::y1::12::gpt-5.5::005""]","[""baseline::y1::12::claude-sonnet-5::001"", ""baseline::y1::12::claude-sonnet-5::002"", ""baseline::y1::12::claude-sonnet-5::003"", ""baseline::y1::12::claude-sonnet-5::004"", ""baseline::y1::12::claude-sonnet-5::005"", ""baseline::y1::12::gpt-5.5::001"", ""baseline::y1::12::gpt-5.5::002"", ""baseline::y1::12::gpt-5.5::003"", ""baseline::y1::12::gpt-5.5::004"", ""baseline::y1::12::gpt-5.5::005"", ""baseline::y1::12::gemini-3.1-pro-preview::001"", ""baseline::y1::12::gemini-3.1-pro-preview::002"", ""baseline::y1::12::gemini-3.1-pro-preview::003"", ""baseline::y1::12::gemini-3.1-pro-preview::004"", ""baseline::y1::12::gemini-3.1-pro-preview::005""]"
baseline,y1::2,y1,2,Elucidating genome structure-function relationships in human brain cells,3,3,5,5,5,15,True,True,True,True,"[""y1::2::1::01"", ""y1::2::2::01"", ""y1::2::3::01""]","[""baseline::y1::2::claude-sonnet-5::001"", ""baseline::y1::2::claude-sonnet-5::002"", ""baseline::y1::2::claude-sonnet-5::003"", ""baseline::y1::2::claude-sonnet-5::004"", ""baseline::y1::2::claude-sonnet-5::005""]","[""baseline::y1::2::gemini-3.1-pro-preview::001"", ""baseline::y1::2::gemini-3.1-pro-preview::002"", ""baseline::y1::2::gemini-3.1-pro-preview::003"", ""baseline::y1::2::gemini-3.1-pro-preview::004"", ""baseline::y1::2::gemini-3.1-pro-preview::005""]","[""baseline::y1::2::gpt-5.5::001"", ""baseline::y1::2::gpt-5.5::002"", ""baseline::y1::2::gpt-5.5::003"", ""baseline::y1::2::gpt-5.5::004"", ""baseline::y1::2::gpt-5.5::005""]","[""baseline::y1::2::claude-sonnet-5::001"", ""baseline::y1::2::claude-sonnet-5::002"", ""baseline::y1::2::claude-sonnet-5::003"", ""baseline::y1::2::claude-sonnet-5::004"", ""baseline::y1::2::claude-sonnet-5::005"", ""baseline::y1::2::gpt-5.5::001"", ""baseline::y1::2::gpt-5.5::002"", ""baseline::y1::2::gpt-5.5::003"", ""baseline::y1::2::gpt-5.5::004"", ""baseline::y1::2::gpt-5.5::005"", ""baseline::y1::2::gemini-3.1-pro-preview::001"", ""baseline::y1::2::gemini-3.1-pro-preview::002"", ""baseline::y1::2::gemini-3.1-pro-preview::003"", ""baseline::y1::2::gemini-3.1-pro-preview::004"", ""baseline::y1::2::gemini-3.1-pro-preview::005""]"
baseline,y1::3,y1,3,MaiTool - LLM-powered bioinformatics tools for microbiome analysis,4,4,5,5,5,15,True,True,True,True,"[""y1::3::1::01"", ""y1::3::2::01"", ""y1::3::3::01"", ""y1::3::4::01""]","[""baseline::y1::3::claude-sonnet-5::001"", ""baseline::y1::3::claude-sonnet-5::002"", ""baseline::y1::3::claude-sonnet-5::003"", ""baseline::y1::3::claude-sonnet-5::004"", ""baseline::y1::3::claude-sonnet-5::005""]","[""baseline::y1::3::gemini-3.1-pro-preview::001"", ""baseline::y1::3::gemini-3.1-pro-preview::002"", ""baseline::y1::3::gemini-3.1-pro-preview::003"", ""baseline::y1::3::gemini-3.1-pro-preview::004"", ""baseline::y1::3::gemini-3.1-pro-preview::005""]","[""baseline::y1::3::gpt-5.5::001"", ""baseline::y1::3::gpt-5.5::002"", ""baseline::y1::3::gpt-5.5::003"", ""baseline::y1::3::gpt-5.5::004"", ""baseline::y1::3::gpt-5.5::005""]","[""baseline::y1::3::claude-sonnet-5::001"", ""baseline::y1::3::claude-sonnet-5::002"", ""baseline::y1::3::claude-sonnet-5::003"", ""baseline::y1::3::claude-sonnet-5::004"", ""baseline::y1::3::claude-sonnet-5::005"", ""baseline::y1::3::gpt-5.5::001"", ""baseline::y1::3::gpt-5.5::002"", ""baseline::y1::3::gpt-5.5::003"", ""baseline::y1::3::gpt-5.5::004"", ""baseline::y1::3::gpt-5.5::005"", ""baseline::y1::3::gemini-3.1-pro-preview::001"", ""baseline::y1::3::gemini-3.1-pro-preview::002"", ""baseline::y1::3::gemini-3.1-pro-preview::003"", ""baseline::y1::3::gemini-3.1-pro-preview::004"", ""baseline::y1::3::gemini-3.1-pro-preview::005""]"
baseline,y1::4,y1,4,Synthesizing gene expression data to create an atlas of bacterial cell states,4,4,5,5,5,15,True,True,True,True,"[""y1::4::1::01"", ""y1::4::2::01"", ""y1::4::3::01"", ""y1::4::4::01""]","[""baseline::y1::4::claude-sonnet-5::001"", ""baseline::y1::4::claude-sonnet-5::002"", ""baseline::y1::4::claude-sonnet-5::003"", ""baseline::y1::4::claude-sonnet-5::004"", ""baseline::y1::4::claude-sonnet-5::005""]","[""baseline::y1::4::gemini-3.1-pro-preview::001"", ""baseline::y1::4::gemini-3.1-pro-preview::002"", ""baseline::y1::4::gemini-3.1-pro-preview::003"", ""baseline::y1::4::gemini-3.1-pro-preview::004"", ""baseline::y1::4::gemini-3.1-pro-preview::005""]","[""baseline::y1::4::gpt-5.5::001"", ""baseline::y1::4::gpt-5.5::002"", ""baseline::y1::4::gpt-5.5::003"", ""baseline::y1::4::gpt-5.5::004"", ""baseline::y1::4::gpt-5.5::005""]","[""baseline::y1::4::claude-sonnet-5::001"", ""baseline::y1::4::claude-sonnet-5::002"", ""baseline::y1::4::claude-sonnet-5::003"", ""baseline::y1::4::claude-sonnet-5::004"", ""baseline::y1::4::claude-sonnet-5::005"", ""baseline::y1::4::gpt-5.5::001"", ""baseline::y1::4::gpt-5.5::002"", ""baseline::y1::4::gpt-5.5::003"", ""baseline::y1::4::gpt-5.5::004"", ""baseline::y1::4::gpt-5.5::005"", ""baseline::y1::4::gemini-3.1-pro-preview::001"", ""baseline::y1::4::gemini-3.1-pro-preview::002"", ""baseline::y1::4::gemini-3.1-pro-preview::003"", ""baseline::y1::4::gemini-3.1-pro-preview::004"", ""baseline::y1::4::gemini-3.1-pro-preview::005""]"
baseline,y1::5,y1,5,Energetic Origins of Connectivity within Protein Interaction Networks,4,4,5,5,5,15,True,True,True,True,"[""y1::5::1::01"", ""y1::5::2::01"", ""y1::5::3::01"", ""y1::5::4::01""]","[""baseline::y1::5::claude-sonnet-5::001"", ""baseline::y1::5::claude-sonnet-5::002"", ""baseline::y1::5::claude-sonnet-5::003"", ""baseline::y1::5::claude-sonnet-5::004"", ""baseline::y1::5::claude-sonnet-5::005""]","[""baseline::y1::5::gemini-3.1-pro-preview::001"", ""baseline::y1::5::gemini-3.1-pro-preview::002"", ""baseline::y1::5::gemini-3.1-pro-preview::003"", ""baseline::y1::5::gemini-3.1-pro-preview::004"", ""baseline::y1::5::gemini-3.1-pro-preview::005""]","[""baseline::y1::5::gpt-5.5::001"", ""baseline::y1::5::gpt-5.5::002"", ""baseline::y1::5::gpt-5.5::003"", ""baseline::y1::5::gpt-5.5::004"", ""baseline::y1::5::gpt-5.5::005""]","[""baseline::y1::5::claude-sonnet-5::001"", ""baseline::y1::5::claude-sonnet-5::002"", ""baseline::y1::5::claude-sonnet-5::003"", ""baseline::y1::5::claude-sonnet-5::004"", ""baseline::y1::5::claude-sonnet-5::005"", ""baseline::y1::5::gpt-5.5::001"", ""baseline::y1::5::gpt-5.5::002"", ""baseline::y1::5::gpt-5.5::003"", ""baseline::y1::5::gpt-5.5::004"", ""baseline::y1::5::gpt-5.5::005"", ""baseline::y1::5::gemini-3.1-pro-preview::001"", ""baseline::y1::5::gemini-3.1-pro-preview::002"", ""baseline::y1::5::gemini-3.1-pro-preview::003"", ""baseline::y1::5::gemini-3.1-pro-preview::004"", ""baseline::y1::5::gemini-3.1-pro-preview::005""]"
baseline,y1::6,y1,6,Elucidating emergent structures in cellular RNA-protein interaction networks,4,4,5,5,5,15,True,True,True,True,"[""y1::6::1::01"", ""y1::6::2::01"", ""y1::6::3::01"", ""y1::6::4::01""]","[""baseline::y1::6::claude-sonnet-5::001"", ""baseline::y1::6::claude-sonnet-5::002"", ""baseline::y1::6::claude-sonnet-5::003"", ""baseline::y1::6::claude-sonnet-5::004"", ""baseline::y1::6::claude-sonnet-5::005""]","[""baseline::y1::6::gemini-3.1-pro-preview::001"", ""baseline::y1::6::gemini-3.1-pro-preview::002"", ""baseline::y1::6::gemini-3.1-pro-preview::003"", ""baseline::y1::6::gemini-3.1-pro-preview::004"", ""baseline::y1::6::gemini-3.1-pro-preview::005""]","[""baseline::y1::6::gpt-5.5::001"", ""baseline::y1::6::gpt-5.5::002"", ""baseline::y1::6::gpt-5.5::003"", ""baseline::y1::6::gpt-5.5::004"", ""baseline::y1::6::gpt-5.5::005""]","[""baseline::y1::6::claude-sonnet-5::001"", ""baseline::y1::6::claude-sonnet-5::002"", ""baseline::y1::6::claude-sonnet-5::003"", ""baseline::y1::6::claude-sonnet-5::004"", ""baseline::y1::6::claude-sonnet-5::005"", ""baseline::y1::6::gpt-5.5::001"", ""baseline::y1::6::gpt-5.5::002"", ""baseline::y1::6::gpt-5.5::003"", ""baseline::y1::6::gpt-5.5::004"", ""baseline::y1::6::gpt-5.5::005"", ""baseline::y1::6::gemini-3.1-pro-preview::001"", ""baseline::y1::6::gemini-3.1-pro-preview::002"", ""baseline::y1::6::gemini-3.1-pro-preview::003"", ""baseline::y1::6::gemini-3.1-pro-preview::004"", ""baseline::y1::6::gemini-3.1-pro-preview::005""]"
baseline,y1::7,y1,7,Oceans of Disorder: Elucidating the Role of Disordered Proteins in Cellular Adaptation,4,4,5,5,5,15,True,True,True,True,"[""y1::7::1::01"", ""y1::7::2::01"", ""y1::7::3::01"", ""y1::7::4::01""]","[""baseline::y1::7::claude-sonnet-5::001"", ""baseline::y1::7::claude-sonnet-5::002"", ""baseline::y1::7::claude-sonnet-5::003"", ""baseline::y1::7::claude-sonnet-5::004"", ""baseline::y1::7::claude-sonnet-5::005""]","[""baseline::y1::7::gemini-3.1-pro-preview::001"", ""baseline::y1::7::gemini-3.1-pro-preview::002"", ""baseline::y1::7::gemini-3.1-pro-preview::003"", ""baseline::y1::7::gemini-3.1-pro-preview::004"", ""baseline::y1::7::gemini-3.1-pro-preview::005""]","[""baseline::y1::7::gpt-5.5::001"", ""baseline::y1::7::gpt-5.5::002"", ""baseline::y1::7::gpt-5.5::003"", ""baseline::y1::7::gpt-5.5::004"", ""baseline::y1::7::gpt-5.5::005""]","[""baseline::y1::7::claude-sonnet-5::001"", ""baseline::y1::7::claude-sonnet-5::002"", ""baseline::y1::7::claude-sonnet-5::003"", ""baseline::y1::7::claude-sonnet-5::004"", ""baseline::y1::7::claude-sonnet-5::005"", ""baseline::y1::7::gpt-5.5::001"", ""baseline::y1::7::gpt-5.5::002"", ""baseline::y1::7::gpt-5.5::003"", ""baseline::y1::7::gpt-5.5::004"", ""baseline::y1::7::gpt-5.5::005"", ""baseline::y1::7::gemini-3.1-pro-preview::001"", ""baseline::y1::7::gemini-3.1-pro-preview::002"", ""baseline::y1::7::gemini-3.1-pro-preview::003"", ""baseline::y1::7::gemini-3.1-pro-preview::004"", ""baseline::y1::7::gemini-3.1-pro-preview::005""]"
